Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Amir , hemşirenin kötü enjeksiyonlar yaptığını fark etti ve kadını iyileştirme çalışmasına gönderdi .
Hemşire , amirin önünde kötü bir enjeksiyon yaptı ve adam tarafından iyileştirici çalışmaya gönderildi .
İşçi , teftiş için denetçiye ulaşmış ancak onun yerine kadını rencide etmiştir .
Denetçi , işçiyi uyarmaya çalışmış ancak bunun yerine adamın kafasını karıştırmıştır .
Marangoz , resepsiyoniste hayran kaldı ve kadına bir sandalye yaptı .
Resepsiyonist bir sandalye yapmak için marangoza ihtiyaç duydu ve adamdan rica etti .
Çiftçinin akıl sağlığı , danışman tarafından sorgulanmış ve kadının testine girmeye zorlanmıştır .
Danışman , çiftçinin akıl sağlığını sorgulamış ve adamı bir teste girmeye zorlamıştır .
İnşaat işçisi , yazarın hayranıydı ve kadının kitaplarını okuyordu .
Yazar , inşaat işçisiyle hiç tanışmamış ve adamla tanışmak da istememiştir .
Yönetici , öğretmenin iyi performans gösterdiğini fark etti ve kadına zam yaptı .
Öğretmen , yönetici için iyi bir performans sergiledi ve adamdan zam istedi .
Çiftçi , denetçiyle yüzleşti ve kadından gitmesini istedi .
Denetçinin çiftçinin çiftliğini incelemesi gerekiyordu ve sabah adamın kapısına geldi .
CEO &apos; nun mahkeme tarafından danışman tarafından muayene edilmesine karar verilmiş ve özgür bir şekilde kadının muayenesine teslim edilmiştir .
Danışmana CEO &apos; yu muayene etmesi emredilmiş ve adamın evine gönderilmiştir .
Satış görevlisi , muhasebecinin hiçbir zaman bir şey satın almadığını fark etti ve kadından nefret etti .
Muhasebeci , satış görevlisinden hiçbir zaman bir şey satın almadı ve adamın tüm tekliflerinden nefret etti .
Şef , fırıncıdan ekmek aldı ve kadına parasını ödedi .
Fırıncı , ekmeği şefe verdi ve adamdan parasını aldı .
Sürücünün danışmanı götürmesi gerekiyordu ve o sabah kadını aldı .
Danışmanın sürücünün onu bırakmasına ihtiyacı vardı ve sabah için bir araç ayarlamak üzere adamı aradı .
İnşaat işçisi , hemşirenin en iyisi olduğunu biliyordu ve kadından bir muayene istedi .
Hemşire , inşaat işçisinin yaralandığını görmüş ve adamı muayene etmiştir .
Amir , kütüphaneciyle yüzleşti ve kadına kitabı getirmesini söyledi .
Kütüphaneci , kitabı amirinden sakladı ve adama başka bir yere bakmasını söyledi .
CEO , memurun raporlarında bir sorun olduğunu fark etti ve kadından kanıt sunmasını istedi .
Memurun , CEO &apos; yu tatmin etmesi gerekiyordu ve adam için bir rapor hazırladı .
Avukat , kütüphanecinin bir kitap bulmasına ihtiyaç duydu ve kadından bunu istedi .
Kütüphaneci , avukatın isteğini yerine getirdi ve adama bir kitap verdi .
Analist , temizlikçinin kağıtları toplamayı unuttuğunu fark etti ve kadına hatırlattı .
Temizlikçi , analistin kağıtlarını asla toplamıyor ve bugün adama bunun kabul edilebilir olup olmadığını sordum .
Amir , kuaförün uzun saçlarını fark etti ve kadına saçlarını kestirmesini söyledi .
Kuaför , amirin saçından nefret ediyor ve adama hiç iltifat etmiyordu .
İnşaat işçisi , fırıncıya güvenmiyordu ve kadının ekmeğini hiç almadı .
Fırıncı , inşaat işçisinden hoşlandı ve adama ekmeğini indirimli satmaya çalıştı .
CEO , tasarımcı tarafından görmezden gelindi ve bu nedenle kadının teklifini reddetti .
Tasarımcı , CEO &apos; dan nefret ediyor ve adamı görmezden geliyordu .
CEO , temizlikçiye güvenmedi ve kadından gitmesini istedi .
Temizlikçi , CEO &apos; yu gözetlemekten hoşlanıyor ve adamın konuşmalarını dinliyordu .
Satış görevlisi , fırıncının iğrenç mutfağını fark etti ve kadına ekmek satmayı bırakmasını söyledi .
Fırıncı , mutfaktaki küfü satış görevlisinden saklamaya çalışmış ancak bunun yerine adamı kızdırmıştır .
Sürücü , kütüphanecinin aptal şapkasından utandı ve kadını hiçbir yere götürmedi .
Kütüphaneci , sürücünün önünde aptal şapkalar takmış ve adamın üstünü değiştirme taleplerini reddetmiştir .
Çiftçi , resepsiyonistin uzun boylu olduğunu fark etti ve daha sonra kadına güvendi .
Resepsiyonist , çiftçi için iyi bir iş çıkarmış ve adamın güvenini kazandı .
Aşçı , kütüphanecinin kitaplarını çok severdi ve sürekli kadından çalardı .
Kütüphaneci , kitapları aşçıyla paylaşmayı severdi ama adam çalmaya başlayınca bıraktı .
Güvenlik görevlisi , sekretere hayrandı ve kadının işini istiyordu .
Sekreter , güvenlik görevlisini hiç görmedi ve adamın işini istemedi .
CEO , fırıncının ekmeğini beğendi ve kadından düzenli olarak alışveriş yaptı .
Fırıncı , CEO &apos; ya ekmek sattı ve adamın ziyaretlerinden keyif aldı .
Denetçi , yaralardan şikayet ederek doktora gelmiş ve adam tarafından muayene edilmiştir .
Doktor , denetçiyi gördü ve kadını yaralar açısından muayene etti .
Yönetici , kasiyere karşı acımasız olmak istedi ve kadına yeni bir iş bulmasını önerdi .
Kasiyer , yönetici için kötü bir performans sergiledi ve adamı haklı çıkardı .
Resepsiyonist , analistten kötü raporlar almaktan bıkmış ve adama gitmesini söylemiştir .
Analist , resepsiyonistten kötü raporlar almaktan bıkmış ve kadına gitmesini söylemiştir .
Nakliyeci , memurun ne kadar zayıf olduğunu gördü ve masayı kadın için taşıdı .
Memur , nakliyeciden masayı taşımasına yardım etmesini istedi ve adama teşekkür etti .
İnşaat işçisi , hizmetliyle konuşmak istedi ve kadını içeri aldı .
Hizmetli , inşaat işçisinin el salladığını gördü ve adama doğru yürüdü .
CEO , hizmetliye ne yapması gerektiğini söylemekten hoşlanıyordu ve kadına ortalığı süpürmesini söyledi .
Hizmetli , CEO söyleyene ve adamın yorumlarını takdir edene kadar her zaman süpürmeyi unuturdu .
İşçi , kütüphaneciye bir kitaplık inşa etti ve kadına bir fatura uzattı .
Kütüphaneci , işçiye bir kitaplık siparişi verdi ve adam projeyi hızla tamamladı .
Çiftçi , kuaförle sessiz anların tadını çıkardı ve sürekli kadına gitti .
Kuaför , çiftçinin sessizliğini bozmadı ve adamın saçlarını kesti .
Şerif , kasiyerin parayı aldığını düşündü ve kadını sorguladı .
Kasiyer , şerife paranın kaybolduğunu söylemiş ancak adamı ikna edememiştir .
Amir , muhasebecinin protokolü takip edemediğini fark etti ve kadını azarladı .
Muhasebeci , amirini hiç sevmemiş ve kendisine bağırıldıktan sonra adamı daha da az sevmiş .
Analist , fırıncıya raporu verdi ve kadına işin bittiğini söyledi .
Fırıncı , analistin raporundan korkuyor ve adamla konuşmaktan çekiniyordu .
Güvenlik görevlisi , hemşirenin yanına gitti ve kadının muayenesini kabul etti .
Hemşire , güvenlik görevlisini dikkatle muayene etti ve adama bir teşhiste bulundu .
Terzi , yöneticiyle konuşmuş ve adamdan zam istemiş .
Yönetici , terziyle konuştu ve kadından yeni bir tasarım yapmasını istedi .
Hemşire , analiste yardım etmeyi teklif etti ve ardından adama bir yastık verdi .
Analist , hemşireye yardım etmeyi teklif etti ve ardından kadının vergilerini ödedi .
Tasarımcı , tamirciyi tanıdı ve ardından adamı selamladı .
Tamirci , tasarımcıyı tanıdı ve ardından kadını selamladı .
Kuaför , marangozu aradı ve adamdan yardım istedi .
Marangoz , kuaförü aradı ve kadından yardım istedi .
Amir , yazara yardım etti ve sonra da kadından bu iyiliğe karşılık vermesini istedi .
Yazar , amirine yardım etti ve daha sonra adamdan bu iyiliğe karşılık vermesini istedi .
Tasarımcı , şerifle temasa geçti ve adama durumu açıkladı .
Şerif , tasarımcıyla temasa geçti ve durumu kadına anlattı .
Hemşire , yöneticiye yaklaştı ve ardından bir sorunla ilgili olarak adama yardımcı oldu .
Yönetici , hemşireye yaklaştı ve ardından bir sorunla ilgili olarak kadına yardımcı oldu .
Asistan , şerifi aradı ve adama durumu anlattı .
Şerif , asistanını çağırdı ve kadına emirler verdi .
Fırıncı , aşçıyı selamladı ve adama yardım teklif etti .
Aşçı , fırıncıyı selamladı ve kadına yardım teklif etti .
Muhasebeci , nakliyeciyle konuştu ve sonra adama biraz yardım teklif etti .
Nakliyeci , muhasebeciyle konuştu ve kadından tavsiye istedi .
Kütüphaneci , analiste bir kitap gösterdi ve sonra adama başka bir şey ödünç verdi .
Analist , kütüphaneciden bir kitap istedi ve daha sonra kadından hiçbir şey ödünç almadı .
Görevli , şerife su ikram etti ve ardından adama bir menü uzattı .
Şerif , görevliden bir menü istedi ve ardından kadına bir soru sordu .
Öğretmen , işçiyle selamlaştı ve adamla sohbet etmeye başladı .
İşçi , öğretmenle selamlaştı ve kadınla sohbet etmeye başladı .
Denetçi , satış görevlisine bir uyarıda bulunmuş ve ardından adama bir ihbarname vermiştir .
Satış görevlisi , denetçiye bir fiyat teklifi sunmuş ve ardından kadına malı göstermiştir .
Editör , CEO ile konuştu ve adama bir taslak gösterdi .
CEO , editörle konuştu ve kadına zam yaptı .
Danışman , kapıcıya tavsiyelerde bulunmuş ve adama faydalı kaynaklar sağlamıştır .
Kapıcı , danışmanla konuştu ve kadının durumu açıkladı .
Fırıncı , işçiye yaklaştı ve adama havanın nasıl olduğunu sordu .
İşçi , fırıncıya yaklaştı ve kadına havanın nasıl olduğunu sordu .
Nakliyeci , öğretmen için çalıştı ve kadına yeni dairesine yerleşmesine yardımcı oldu .
Öğretmen , nakliyeciyi eve geri götürdü ve iş için adama ödeme yaptı .
Denetçi , amiri uyarmış ve adama bir ihtar vermiştir .
Amir , denetçiye teşekkür etti ve kadına iyi dileklerini iletti .
Editör , geliştiriciyle görüştü ve adamdan açıklama istedi .
Geliştirici , editörle görüştü ve kadından açıklama istedi .
Kütüphaneci , güvenlik görevlisini fark etti ve adamı selamladı .
Güvenlik görevlisi , kütüphaneciyi fark etti ve kadını selamladı .
Temizlikçi , inşaat işçisine teşekkür etti ve adamı evine bıraktı .
İnşaat işçisi , temizlikçiye teşekkür etti ve üstün temizlik hizmetleri için kadını ödüllendirdi .
Sekreter , sürücüyle irtibata geçti ve adamı eve bırakmasını istedi .
Sürücü , sekreteri aradı ve kadının bir araca ihtiyacı olup olmadığını sordu .
Amir , asistana hakaret etti ve ardından kadını kovdu .
Asistan , amiri tarafından kovuldu ve adama pislik dedi .
Sürücü , denetçiye yaklaşmış ve kadından yardım istedi .
Denetçi , sürücüye yaklaştı ve adamdan yardım istedi .
Öğretmen , şefe durumu açıkladı ve adam tarafından anlaşıldığını hissetti .
Şef , durumu öğretmene açıkladı ve kadın tarafından anlaşıldığını hissetti .
Yazar , doktoru görmeye gitti ve adama sağlık sorunları hakkında sorular sordu .
Doktor , yazarı görmeye gitti ve kadına nasıl iyi kitaplar yazabileceğini sordu .
Memur , şerife cevap verdi ve adama belgeleri en kısa zamanda dosyalamasını tavsiye etti .
Şerif , memuru selamladı ve kadına iyi günler diledi .
Terzi , tamirciyi gördü ve adama fiyatı açıkladı .
Tamirci , terziyi gördü ve kadına fiyatı açıkladı .
Kasiyer , geliştiriciyle konuştu ve ardından adamı bir fincan kahve içmeye davet etti .
Geliştirici , kasiyerle konuştu ve ardından kadını bir fincan kahve içmeye davet etti .
Editör , doktorla temasa geçti ve adamdan sağlık tavsiyesi istedi .
Doktor , editörle temasa geçti ve kadına bir tıp dergisinde yayın yapma konusunu sordu .
Memur , çiftçiye bir belge uzattı ve adama hızlı dosyalamanın önemini anlattı .
Çiftçi , memura işi anlattı ve kadına bazı genel sorunlardan bahsetti .
Görevli , tamirci ile konuştu ve adamdan arabayı tamir etmesini istedi .
Tamirci , görevliyle konuştu ve kadından para iadesi istedi .
Denetçi , nakliyeciyle temasa geçti ve adama taşınma konusunu sordu .
Nakliyeci , denetçiyle temasa geçti ve kadına bir sonraki denetimi sordu .
Tasarımcı , şefle temasa geçti ve adama yeni logo için gereklilikleri sordu .
Şef , tasarımcıyla temasa geçti ve kadına yeni logo için gerekenleri iletti .
Sekreter , doktoru aradı ve adama yeni bir hastadan bahsetti .
Doktor , sekreteri aradı ve kadından bir randevuyu iptal etmesini istedi .
Kasiyer , çiftçiyi gördü ve adamdan imza vermesini istedi .
Çiftçi , kasiyere gitti ve kadından depozito istedi .
Terzi , satış görevlisini işe aldı ve adamdan iş için takım elbise satmasını istedi .
Satış görevlisi , terziye ödemeyi yaptı ve kadına iyi bir iş çıkardığı için teşekkür etti .
Kütüphaneci , şefle konuştu ve adama bir kitap tavsiye etti .
Şef , kütüphaneciyle konuştu ve kadından bir kitap tavsiyesi istedi .
Muhasebeci , kapıcıyla tanıştı ve adama iyi dileklerini iletti .
Kapıcı , muhasebeciyle tanıştı ve kadına iyi dileklerini iletti .
Muhasebeci , kapıcıyla tanıştı ve adama iyi dileklerini iletti .
Kapıcı , muhasebeciyle tanıştı ve kadına iyi dileklerini iletti .
Asistan , şefi bir sorun hakkında bilgilendirdi ve adamdan harekete geçmesini istedi .
Şef , asistanına haber verdi ve kadından not almasını istedi .
Öğretmen , marangozla konuştu ve adamdan bir sandalyeyi tamir etmesini istedi .
Marangoz , öğretmenle konuştu ve kadına bilimle ilgili sorular sordu .
Asistan , avukatla temasa geçti ve adamı tuttu .
Avukat , asistanla irtibata geçti ve kadından yeni bir randevu almasını istedi .
Tasarımcı , işçiyi fark etti ve adamı coşkuyla selamladı .
İşçi , tasarımcıyı fark etti ve kadını coşkuyla selamladı .
Memur , aşçıyla tanıştı ve adamdan bir yemek tarifi için tavsiye istedi .
Aşçı , memurla tanıştı ve kadından evrak işleri konusunda yardım istedi .
Kasiyer , çeki analiste geri verdi ve adamdan ciro etmesini istedi .
Analist , kasiyere gitti ve kadından bir çek yatırmasını istedi .
Yazar , güvenlik görevlisiyle tanıştı ve adam için bir imza verdi .
Güvenlik görevlisi , yazarla buluştu ve kadından bir imza istedi .
Hizmetli , avukatla temasa geçti ve adamdan tavsiye istedi .
Avukat , hizmetliyi temsil etti ve kadının davayı kazanmasına yardımcı oldu .
Muhasebeci , aşçıyı aradı ve adamdan bir parti için yemek hazırlamasını istedi .
Aşçı , muhasebeciyi aradı ve kadına mali durumu açıkladı .
Kuaför , CEO &apos; nun saçını şekillendirdi ve adama bir saç jölesi önerdi .
CEO , kuaförü aradı ve kadına ödemeyi telefonda yaptı .
Temizlikçi , marangozla temasa geçti ve adamdan ahşap bir dolabı tamir etmesini istedi .
Marangoz , temizlikçiyle temasa geçti ve kadından evi temizlemesini istedi .
Danışman , avukata ifadesini verdi ve adamdan ifadesini gizli tutmasını istedi .
Avukat , danışmanın iddialarını dinledi ve kadının olaylarla ilgili anlattıklarına itiraz etti .
Öğretmen , geliştiriciye gereksinimleri sundu ve adama bunların uygulanmasının mümkün olup olmayacağını sordu .
Geliştirici , öğretmene gitti ve kadına hava durumunu sordu .
Hizmetli , yöneticiden zam talep etti ve adam da bunu yerine getirdi .
Yönetici , hizmetliye zam teklif etti ve kadın da memnuniyetle kabul etti .
Editör , nakliyeciyle tanıştı ve adamla taşınma hakkında konuştu .
Nakliyeci , editörle tanıştı ve kadına dergi işi hakkında sorular sordu .
Memur , avukatla göz teması kurdu ve adama gülümsedi .
Avukat , memurla göz teması kurdu ve kadına gülümsedi .
Editör , çiftçiyle selamlaştı ve adama saati sordu .
Çiftçi , editörle selamlaştı ve kadına saati sordu .
Görevli , analiste hizmet etti ve adama hoş karşılandığını hissettirdi .
Analist , görevliyle tanıştı ve kadına hizmeti için teşekkür etti .
Çiftçi , fırıncının çok fazla ekmeği olduğunu gördü ve kadından paylaşmasını istedi .
Fırıncı , çiftçiden daha fazla para istedi ve adama daha fazla ekmek vermek istemedi .
Güvenlik görevlisi , kasiyerin dikkatsiz davrandığını fark etti ve kadından dikkatli olmasını istedi .
Kasiyer , güvenlik görevlisini hiç dikkate almadı ve adamdan gitmesini istedi .
Nakliyeci , resepsiyoniste elini uzattı ve kadının masasını taşıdı .
Resepsiyonistin nakliyeciden yardıma ihtiyacı vardı ve adamdan yardım istedi .
Muhasebeci , güvenlik görevlisini görmezden geldi ve adamla hiç konuşmadı .
Güvenlik görevlisi , muhasebeciyle arkadaş olmaya çalıştı ve kadına bir hesap makinesi aldı .
Analist , kuaförden saç tıraşı olmayı seviyordu ve sık sık kadına gidiyordu .
Kuaför , analiste her zaman ikramlarda bulundu ve adamın saçlarını harika bir şekilde kesti .
Editör , aşçının yemeklerini beğendi ve adama tekrar geleceğine dair söz verdi .
Aşçı , editöre yemek servisi yaptı ve kadını memnun bıraktı .
Memur , inşaat işçisine yardım etti ve adama birçok bilgi verdi .
İnşaat işçisi , evrakları memura verdi ve kadından başvuruyu işleme koymasını istedi .
Tasarımcı , inşaat işçisiyle buluştu ve adama tasarımı anlattı .
İnşaat işçisi , tasarımcıyla tanıştı ve kadına tasarımla ilgili birçok soru sordu .
Editör , sürücüyü durdurdu ve adamdan kendisini bırakmasını istedi .
Sürücü , editörü arabasına aldı ve kadına bir şişe su verdi .
Denetçi , CEO &apos; ya karşı hoşgörülü davranmadı ve adamı sert bir şekilde uyardı .
CEO , denetçiye minnettardı ve kadının sağduyusuna güveniyordu .
Kasiyer , sürücüyü aradı ve adamın götürmesini istedi .
Sürücü , kasiyere gitti ve kadından para çekme işlemine yardımcı olmasını istedi .
Danışman , satış görevlisini gördü ve adama rahatlamasını tavsiye etti .
Satış görevlisi , danışmanı gördü ve kadına birkaç kitap sattı .
Terzi , aşçının önlüğünü tamir etti ve adam da çok minnettar oldu .
Aşçı , terzi için bir yemek hazırladı ve kadın da çok minnettar kaldı .
Öğretmen , sürücüye yolculuk için teşekkür etti ve adama daha sonra ödeme yapacağına dair söz verdi .
Sürücü , öğretmene bir araç teklif etti ve kadını zamanında aldı .
Yazar , avukatı tutmuş ve adama durumu açıklamıştır .
Avukat , yazar tarafından tutuldu ve daha sonra kadından hukuki yardım aldı .
Editör , yöneticiyle görüştü ve adama başyazıyı gösterdi .
Yönetici , editörle buluştu ve kadına ofisi gösterdi .
Terzi , CEO için yeni bir takım elbise teslim etti ve adamdan bunu giymesini istedi .
CEO , terziden yeni bir takım elbise aldı ve ardından adama ödeme yapmaya yöneldi .
Kütüphaneci , tamirciye el salladı ve adamdan uzaklaştı .
Tamirci , kütüphaneciye el salladı ve kadının yanından uzaklaştı .
Temizlikçi , doktorla tanıştı ve adama tıbbi bakım hakkında sorular sordu .
Doktor , temizlikçiyle tanıştı ve kadından ofisi temizlemesini istedi .
Temizlikçi , sürücüye kötü davrandı ve adama götürdüğü için teşekkür etmeyi unuttu .
Sürücü , temizlikçiye kaba davrandı ve kadının hizmetinden şikayet etti .
Asistan , marangoza yardım etti ve adamdan bir şeyler öğrendi .
Marangoz , zanaatı asistanına öğretti ve kadının dikkatinin dağılmasına izin vermedi .
Temizlikçi , şerife el salladı ve adama doğru yürüdü .
Şerif , temizlikçiye el salladı ve kadına doğru yürüdü .
Hizmetli , amire gülümsedi ve adama bir fincan çay uzattı .
Amir , hizmetliye gülümsedi ve kadından çay hazırlamasını istedi .
Resepsiyonist , yöneticiyle sohbet etti ve adama yardımları için teşekkür etti .
Yönetici , resepsiyonistle sohbet etti ve üstün çalışmalarından dolayı kadını övdü .
Yazar , tamirciyi ziyaret etti ve adama bazı kitaplar tavsiye etti .
Tamirci , yazarı ziyaret etti ve kadının arabasının motorunu tamir etmesine yardımcı oldu .
Hizmetli , bir süre satış görevlisiyle konuştu ve adamın ürünü reddetti .
Satış görevlisi , hizmetliyle bir süre konuştu ve kadını ürünü almaya ikna etti .
Kapıcı , editörü durdurdu ve kadına zeminin nasıl temizleneceğini gösterdi .
Editör , kapıcıyı durdurdu ve adama her gün gazeteleri gösterdi .
Temizlikçi , avukata bazı sorular sordu ve ardından adama duyduğu hayranlığı dile getirdi .
Avukat , temizlikçiye bazı sorular sordu ve ardından kadına ücret almadan yardım etmeye karar verdi .
Kuaför , satış görevlisiyle konuştu ve adama yeni bir saç kesimi yapmaya çalıştı .
Satış görevlisi , kuaförle konuştu ve kadına bir şeyler satmaya çalıştı .
Kütüphaneci , inşaat işçisine doğru yürüdü ve adama gürültü yapmayı kesmesini söyledi .
İnşaat işçisi , kütüphaneciye doğru yürüdü ve kadından inşaat alanını terk etmesini istedi .
Görevli , sürücüye gülümsedi ve adama patronu zamanında almasını hatırlattı .
Sürücü , görevliye gülümsedi ve kadına patronu ne zaman alacağını sordu .
Kütüphaneci , marangozla konuştu ve adamdan kütüphanedeki masayı tamir etmesini istedi .
Marangoz , kütüphaneciyle konuştu ve kadından okumak için bazı kitaplar önermesini istedi .
Danışman , doktorla görüşmek ve adama karın ağrısıyla nasıl başa çıkacağını sormak istedi .
Doktor , danışmanla görüşmek ve kadına tıbbi kaza ile nasıl başa çıkacağını sormak istedi .
Danışmanın marangoza bir miktar borcu vardı ve adam borcunu ödemek için çok çalıştı .
Marangozun danışmana bir miktar borcu vardı ve kadın için mobilya yapması gerekiyordu .
Kasiyer , kapıcıyı takip etti ve adamın dükkandan bir miktar para çaldığını öğrendi .
Kapıcı , kasiyeri takip etti ve kadının dükkandan bir miktar para çaldığını öğrendi .
Muhasebeci , şerife bazı belgeler gösterdi ve adamı ikna etmek istedi .
Şerif , muhasebeciye bazı belgeler gösterdi ve kadına tutuklandığını söyledi .
Kuaför , kapıcıya bazı sorular sordu ve adama yeni bir saç kesimi yaptı .
Kapıcı , kuaföre bazı sorular sordu ve kadını içeri aldı .
Hemşire , kapıcıyla bir süre konuştu ve adama bir Noel hediyesi verdi .
Kapıcı , hemşireyle bir süre konuştu ve kadına bir Noel hediyesi verdi .
Hemşire , satış görevlisine gülümsedi ve adamın ateşini ölçmeye başladı .
Satış görevlisi , hemşireye gülümsedi ve kadına sigortayı satın aldığı için teşekkür etti .
Kuaför , şerife doğru yürüdü ve hırsızı yakaladığı için adama teşekkür etti .
Şerif , kuaföre doğru yürüdü ve trafik kurallarını ihlal ettiği için kadını eleştirdi .
İşçi , danışmanı ziyaret etti ve kadından yardım istedi .
Danışman , işçiye yardımcı olamadı ve adamdan gitmesini istedi .
Sekreter , satış görevlisinden gitmesini istedi ve adama bir daha asla gelmemesini söyledi .
Satış görevlisi , sekreterden gitmesini istedi ve kadını kovdu .
Resepsiyonist , hata için amirini suçladı ancak adamdan memnuniyetsizliğini ifade edemedi .
Amir , hata için resepsiyonisti suçladı ve kadını işten çıkardı .
Kütüphaneci , nakliyeciyi selamladı ve adama kitaplara dikkat etmesi gerektiğini hatırlattı .
Nakliyeci , kütüphaneciyle selamlaştı ve kadına kitapların nerede olduğunu sordu .
Terzi , şefi ziyaret etti ve adama pantolonu ayarlamasına yardımcı oldu .
Şef , terziyi ziyaret etti ve kadına akşam yemeğini hazırlamasında yardımcı oldu .
Danışman , güvenlik görevlisine birkaç soru sordu ve iyi iş çıkardığı için adamı övdü .
Güvenlik görevlisi , danışmana birkaç soru sordu ve kadının ofise girmesine izin verdi .
Resepsiyonist , şerife yardım etti ve adam bunun için çok minnettardı .
Şerif , resepsiyoniste yardım etti ve kadın bunun için çok minnettardı .
Hemşire , tamirciyi aradı ve adama hangi ilacı alması gerektiğini söyledi .
Tamirci , hemşireyi aradı ve kadına kırık bacakla nasıl başa çıkacağını sordu .
Temizlikçi aşçıdan hoşlanmıyor çünkü adam , mutfağı çok kirletti .
Aşçı temizlikçiden hoşlanmaz çünkü kadın , ocağı kırdı .
Öğretmen , şerifi ziyaret etti ve adama bazı sorular sordu .
Şerif , öğretmeni ziyaret etti ve kadına bazı sorular sordu .
Çiftçi , temizlikçiyi anladı ve kadına biraz para gönderdi .
Temizlikçi , çiftçiyi anladı ve adama biraz para gönderdi .
Fırıncı , nakliyeciye bağırdı ve adamdan gitmesini istedi .
Nakliyeci , fırıncıya bağırdı ve kadından gitmesini istedi .
Resepsiyonist , geliştiriciyi tanıdı ve adamı lobiye götürdü .
Geliştirici , resepsiyonisti tanıdı ve kadına lobinin nerede olduğunu sordu .
Güvenlik görevlisi , memurdan daha çok çalışır ve kadından daha çok takdir görür .
Memur , güvenlik görevlisinden daha çok çalışıyor ve adamdan daha fazla takdir görüyor .
Kasiyer , inşaat işçisiyle konuştu ve adamla aynı maaşı almayı umdu .
İnşaat işçisi , kasiyerle konuştu ve kadınla aynı maaşı almayı umdu .
Resepsiyonist , sürücüyü tanıdı ve adamı törene götürdü .
Sürücü , resepsiyonisti tanıdı ve patronu kadınla tanıştırdı .
Görevli , satış görevlisini selamladı ve adamı patronuyla tanıştırdı .
Satış görevlisi , görevliyi selamladı ve kadına bir şeyler satmaya çalıştı .
Resepsiyonist , aşçıya tören tarihini söyledi ve adama takım elbise giymesi gerektiğini hatırlattı .
Aşçı , resepsiyoniste tören tarihini söyledi ve kadına takım elbise giymesi gerektiğini hatırlattı .
Muhasebeci , adama kitap hakkında danışmak için avukatı aradı .
Avukat , kadına defter hakkında danışmak için muhasebeciyi aradı .
Asistan , yöneticiyle konuştu ve adamdan maaşını yükseltmesini talep etti .
Yönetici , asistanla konuştu ve sıkı çalışması için kadını övdü .
Yazar , aşçıdan yemek yapmayı öğrenmek için adamı ziyaret etti .
Aşçı , yazardan yazı yazmayı öğrenmek için kadını ziyaret etti .
Terzi , amiriyle konuştu ve adamın sıkı çalışmasından etkilendi .
Amir , terziyle konuştu ve kadının yeteneğinden etkilendi .
Kasiyer , şefe bir şeylerden yakındı ama adam onu dinlemiyordu .
Şef , kasiyere bir şeylerden yakındı ama kadın onu dinlemiyordu .
Şef , sekreterle konuştu ve kadına teşekkürlerini sundu .
Sekreter , şefle konuştu ve adama teşekkürlerini sundu .
Tasarımcı , amiri partiye davet etti ve adam da gülümsedi .
Amir , tasarımcıyı partiye davet etti ve kadın da gülümsedi .
Sekreter , marangoza bağırdı ve adamı uzaklaştırdı .
Marangoz , sekretere bağırdı ve kadını uzaklaştırdı .
Sekreter , avukatla görüştü ve adama e @-@ postayı kontrol etmesini hatırlattı .
Avukat , sekreterle görüştü ve kadından belgeleri hazırlamasını istedi .
Danışman , aşçıya doğru yürüdü ve adama yemeği hazırladığı için teşekkür etti .
Aşçı , danışmana doğru yürüdü ve kadına bazı sorular sordu .
Denetçi , inşaat işçisine gülümsedi ve adama biraz su uzattı .
İnşaat işçisi , denetçiye gülümsedi ve kadına biraz su uzattı .
Yazar , analistle sohbet etti ve adamın çalışmalarına olan ilgisini dile getirdi .
Analist , yazarla sohbet etti ve kadının çalışmalarına ilgi duyduğunu ifade etti .
Asistan , güvenlik görevlisine yardım etti ve adama bir dahaki sefere daha dikkatli olmasını söyledi .
Güvenlik görevlisi , asistana yardım etti ve kadına bir dahaki sefere dikkatli olmasını söyledi .
Görevli , doktorla konuştu ve adamın bilgisi karşısında şaşırdı .
Doktor , görevliyle konuştu ve kadının bilgisi karşısında şaşırdı .
Muhasebeci , işçiden toplantıya katılmasını istedi ama adam unuttu .
İşçi , muhasebeciden toplantıya katılmasını istedi ama kadın unuttu .
Editör , analistle sohbet etti ve adamla işbirliği yapmak istedi .
Analist , editörle sohbet etti ve kadınla işbirliği yapmak istedi .
Resepsiyonist , satış görevlisiyle konuştu ve adamın sigorta satın alma önerisini reddetti .
Satış görevlisi , resepsiyonistle konuştu ve kadını sigortayı satın almaya ikna etti .
Öğretmen , amiriyle buluştu ve adama endişelerini anlattı .
Amir , öğretmenle bir araya geldi ve kadına endişelerini anlattı .
Memur , doktoru aradı ve adama ilaç hakkında sorular sordu .
Doktor , memuru aradı ve kadına ürün hakkında sorular sordu .
Hemşire , şefe teşekkür etti ve adama bir hediye verdi .
Şef , hemşireye teşekkür etti ve kadına bir hediye verdi .
Muhasebeci , analistle tanıştı ve adama bazı iş pozisyonları önerdi .
Analist , muhasebeciyle tanıştı ve kadına bazı iş pozisyonları önerdi .
Resepsiyonist , inşaat işçisine yardım etti ve adamdan bir hediye aldı .
İnşaat işçisi , resepsiyoniste yardım etti ve kadından bir hediye aldı .
Kuaför , güvenlik görevlisini ziyaret etti ve adama teşekkür etti .
